,entity,start,main,age,exp,perf
2298,58,2013-10-21,5,18.075290896646134,8,1594.980184661486
2299,58,2013-11-16,5,18.146475017111566,9,1591.8307997890595
2300,58,2013-11-25,5,18.171115674195757,10,1647.2021723258813
2301,58,2014-01-04,5,18.28062970568104,11,1645.5896458947093
2302,58,2014-02-04,5,18.365503080082135,12,1681.273749062599
2303,58,2014-02-09,5,18.379192334017795,13,1718.6255605323508
2304,58,2014-03-28,5,18.507871321013006,14,1722.4372912287633
2305,58,2014-04-03,5,18.524298425735797,15,1744.7826473493883
2306,58,2014-04-25,5,18.584531143052704,16,1743.6843984630254
2307,58,2014-05-31,5,18.68309377138946,17,1741.4575207049706
2308,58,2014-08-15,5,18.8911704312115,18,1800.7240625117824
2309,58,2014-08-25,5,18.91854893908282,19,1801.506742725458
2310,58,2014-08-26,5,18.921286789869953,20,1836.6286779955667
2311,58,2014-09-05,5,18.94866529774127,21,1865.663039574506
2312,58,2014-09-11,5,18.965092402464066,22,1871.9643051962453
2313,58,2014-10-02,5,19.02258726899384,24,1884.9375057690581
2314,58,2014-10-09,5,19.041752224503764,25,1886.5777592122681
2315,58,2014-11-28,5,19.17864476386037,28,1887.8676886814317
2316,58,2015-01-21,5,19.326488706365502,31,1899.5405105680882
2317,58,2015-04-20,5,19.57015742642026,32,1899.3446392543215
2318,58,2015-05-03,5,19.60574948665298,33,1900.9827501319724
2319,58,2015-06-20,5,19.737166324435318,34,1902.7502816364401
2320,58,2015-07-27,5,19.838466803559207,35,1909.659436587791
2321,58,2015-09-07,5,19.953456536618756,36,1969.7891797285756
2322,58,2015-09-10,5,19.96167008898015,37,1967.8460879752179
2323,58,2015-09-21,5,19.991786447638603,38,1964.6575687275338
2324,58,2015-10-03,5,20.024640657084188,39,1971.4276042230742
2325,58,2015-10-16,5,20.060232717316907,40,1987.3591768326964
2326,58,2015-10-26,5,20.087611225188226,41,1982.1404943077189
2327,58,2015-11-13,5,20.136892539356605,42,1979.2037260495244
2328,58,2015-12-02,5,20.188911704312115,43,2011.3531409017294
2329,58,2015-12-09,5,20.20807665982204,44,2005.7797510476225
2330,58,2016-01-13,5,20.303901437371664,45,2003.3546331472846
2331,58,2016-01-19,5,20.320328542094455,46,1977.7607071245034
2332,58,2016-02-25,5,20.421629021218344,47,1975.0288150874144
2333,58,2016-03-19,5,20.484599589322382,48,1979.6947549707274
2334,58,2016-04-14,5,20.555783709787818,49,1977.381790458463
2335,58,2016-05-09,5,20.62422997946612,50,1977.6518426495322
2336,58,2016-05-21,5,20.657084188911703,51,1984.3118650618367
2337,58,2016-06-17,5,20.73100616016427,52,1981.4157419815901
2338,58,2016-08-23,5,20.914442162902123,53,1985.6069916036017
2339,58,2016-10-11,5,21.048596851471594,54,1976.2946281184593
2340,58,2016-10-17,5,21.065023956194388,55,1983.179641998069
2341,58,2017-04-01,5,21.519507186858316,56,1961.9560677361121
2342,58,2017-05-02,5,21.60438056125941,57,1958.7914495423408
2343,58,2017-07-07,5,21.78507871321013,58,1957.1325758530786
2344,59,2013-05-19,5,19.876796714579054,0,1531.5707984640671
2345,59,2015-01-21,5,21.5523613963039,3,1511.6171081401637
2346,59,2015-09-20,5,22.21492128678987,5,1475.954771181224
2347,59,2015-10-30,5,22.324435318275153,6,1481.8092669697958
2348,59,2015-11-30,5,22.409308692676248,7,1475.0694353884082
2349,59,2015-12-02,5,22.414784394250514,8,1471.1975827445976
2350,59,2015-12-17,5,22.455852156057496,9,1468.3602523591246
2351,59,2016-03-19,5,22.71047227926078,10,1463.6004676514162
2352,59,2016-04-14,5,22.781656399726216,11,1461.2875031391518
2353,59,2016-05-09,5,22.850102669404517,12,1461.557555330221
2354,59,2016-05-21,5,22.882956878850102,13,1468.2175777425255
2355,59,2016-06-17,5,22.95687885010267,14,1465.3214546622792
2356,60,2013-05-20,1,20.525667351129364,7,1618.46099122082
2357,60,2014-08-11,1,21.752224503764545,29,1696.532927205305
2358,60,2014-08-15,1,21.763175906913073,30,1783.968067416247
2359,60,2014-08-25,1,21.790554414784395,31,1790.1136033086395
2360,60,2014-09-11,1,21.83709787816564,32,1777.1488098184918
2361,60,2014-09-25,1,21.87542778918549,33,1846.8691727886712
2362,60,2014-10-06,1,21.905544147843944,34,1905.091195138814
2363,60,2014-10-31,1,21.973990417522245,35,1922.9543487130538
2364,60,2014-11-01,1,21.976728268309376,36,1932.6960229731885
2365,60,2014-11-09,1,21.998631074606433,37,1938.1258310628014
2366,60,2014-12-10,1,22.083504449007528,38,1941.5741647127684
2367,60,2016-08-23,1,23.786447638603697,41,1938.499744921803
2368,60,2017-04-01,1,24.39151266255989,42,1917.2761706598462
2369,60,2017-05-02,1,24.476386036960985,43,1914.1115524660752
2370,60,2017-07-07,1,24.657084188911703,44,1912.452678776813
2371,61,2013-05-21,1,16.8870636550308,0,1579.4861044159234
2372,61,2013-06-28,1,16.99110198494182,1,1588.7945039272413
2373,61,2014-02-04,1,17.596167008898014,4,1698.7314323990813
2374,61,2014-03-03,1,17.67008898015058,5,1844.107504147612
2375,61,2014-03-05,1,17.675564681724847,6,1945.2185407182342
2376,61,2014-03-07,1,17.68104038329911,7,1952.701240493876
2377,61,2014-04-01,1,17.749486652977414,8,2006.0729134180178
2378,61,2014-04-25,1,17.815195071868583,9,2038.224987139684
2379,61,2014-06-05,1,17.927446954141,10,2042.4068437584458
2380,61,2014-06-28,1,17.99041752224504,11,2055.0080756189673
2381,61,2014-07-08,1,18.017796030116358,12,2046.355057305579
2382,61,2014-08-15,1,18.12183436002738,13,2067.3190199327487
2383,61,2014-09-05,1,18.17932922655715,14,2067.707045736891
2384,61,2014-09-18,1,18.21492128678987,15,2065.84542839842
2385,61,2014-09-25,1,18.234086242299796,16,2047.20951479931
2386,61,2014-10-06,1,18.26420260095825,17,2045.3907902009407
2387,61,2014-10-09,1,18.272416153319643,18,2054.3640660301917
2388,61,2014-10-31,1,18.33264887063655,19,2040.615304045829
2389,61,2014-12-03,1,18.42299794661191,20,2037.6803716286613
2390,61,2015-01-21,1,18.55715263518138,21,2080.2087304624506
2391,61,2015-01-29,1,18.579055441478438,22,2077.2998939874224
2392,61,2015-03-09,1,18.68583162217659,23,2045.97513900389
2393,61,2015-04-06,1,18.76249144421629,24,2065.794184369681
2394,61,2015-05-13,1,18.863791923340177,25,2070.4596736148696
2395,61,2015-06-03,1,18.921286789869953,26,2058.624367427157
2396,61,2015-06-20,1,18.967830253251197,27,2056.245534645892
2397,61,2015-07-27,1,19.069130732375086,28,2022.2477315866
2398,61,2015-10-03,1,19.255304585900067,29,2023.8952892976304
2399,61,2015-10-16,1,19.290896646132786,30,2021.7172167813192
2400,61,2015-11-13,1,19.367556468172484,31,2019.0111906633742
2401,61,2015-12-09,1,19.43874058863792,32,2029.7101899058234
2402,61,2015-12-17,1,19.460643394934976,33,2034.1061220254564
2403,61,2016-01-13,1,19.534565366187543,34,2031.8442699154202
2404,61,2016-01-19,1,19.550992470910334,35,2047.2905688683554
2405,61,2016-01-27,1,19.572895277207394,36,2054.0084067984926
2406,61,2016-02-25,1,19.652292950034223,37,2050.9467495536337
2407,61,2016-03-19,1,19.71526351813826,38,2048.56856030274
2408,61,2016-04-22,1,19.808350444900753,39,2046.466132290319
2409,61,2016-05-09,1,19.854893908281998,40,2044.1851700056636
2410,61,2016-06-03,1,19.923340177960302,41,2041.686328140111
2411,61,2016-07-21,1,20.05475701574264,42,2034.3836913217947
2412,61,2016-08-02,1,20.087611225188226,43,2023.9844872665708
2413,61,2016-09-28,1,20.243668720054757,44,2021.714088004901
2414,61,2016-11-10,1,20.361396303901437,45,2018.3914562922682
2415,61,2016-11-16,1,20.37782340862423,46,2015.068824579636
2416,61,2016-12-03,1,20.424366872005475,47,2012.124044164179
2417,61,2016-12-17,1,20.462696783025326,48,2009.8346635364535
2418,61,2017-01-20,1,20.555783709787818,49,2007.7385514065936
2419,61,2017-03-27,1,20.736481861738536,50,2002.611229754741
2420,61,2017-04-24,1,20.813141683778234,51,1999.9292190335932
2421,61,2017-05-25,1,20.89801505817933,52,2033.4168387235788
2422,61,2017-06-04,1,20.92539356605065,53,2030.8960246847987
2423,61,2017-07-05,1,21.010266940451746,54,2028.5784520139573
2424,61,2017-08-02,1,21.086926762491444,55,2000.035756214455
2425,62,2013-06-15,4,21.09514031485284,7,1584.524914043837
2426,62,2013-06-19,4,21.10609171800137,8,1551.0125313132253
2427,62,2013-08-31,4,21.305954825462013,9,1574.533724307982
2428,62,2013-11-22,4,21.533196440793976,16,1581.3330251706238
2429,62,2013-11-25,4,21.541409993155373,17,1593.896798849141
2430,62,2014-01-04,4,21.650924024640656,18,1590.6945146694532
2431,62,2014-01-31,4,21.724845995893222,19,1575.039908389014
2432,62,2014-02-04,4,21.73579739904175,20,1551.544514919717
2433,62,2014-02-09,4,21.749486652977414,21,1544.7479582190115
2434,62,2014-03-03,4,21.809719370294317,23,1534.7018393262701
2435,62,2014-11-09,4,22.496919917864478,25,1547.9097081111029
2436,62,2015-01-21,4,22.69678302532512,26,1573.6523947027829
2437,62,2015-02-23,4,22.78713210130048,27,1651.21853079138
2438,62,2015-03-09,4,22.82546201232033,28,1699.905855877794
2439,62,2015-04-06,4,22.902121834360027,29,1685.8727469339776
2440,62,2015-04-20,4,22.940451745379878,30,1675.6416482888087
2441,62,2015-05-03,4,22.976043805612594,31,1676.3071403500956
2442,62,2015-06-20,4,23.107460643394933,32,1673.7356423475183
2443,63,2013-08-31,5,18.611909650924023,8,1582.0077410613333
2444,63,2013-09-11,5,18.642026009582477,9,1663.2257142660753
2445,63,2013-10-31,5,18.77891854893908,10,1661.117850093032
2446,63,2013-11-16,5,18.822724161533195,11,1664.7008921984204
2447,63,2013-11-25,5,18.847364818617386,12,1650.3535537614425
2448,63,2014-01-04,5,18.95687885010267,13,1651.830405219395
2449,63,2014-01-31,5,19.030800821355236,14,1663.394206030644
2450,63,2014-02-04,5,19.041752224503764,15,1738.1968159527614
2451,63,2014-02-09,5,19.055441478439427,16,1808.5795684934337
2452,63,2014-03-03,5,19.11567419575633,17,1840.3838703223273
2453,63,2014-03-05,5,19.121149897330596,18,1882.9674266242268
2454,63,2014-03-28,5,19.184120465434635,19,1888.2613978400955
2455,63,2014-04-01,5,19.195071868583163,20,1882.4766086048471
2456,63,2014-04-03,5,19.200547570157426,21,1881.85556711409
2457,63,2014-04-05,5,19.20602327173169,22,1883.2721266992628
2458,63,2014-04-25,5,19.260780287474333,23,1863.5835610449346
2459,63,2014-07-08,5,19.463381245722108,24,1856.345603001866
2460,63,2014-08-15,5,19.567419575633128,25,1915.612144808678
2461,63,2014-08-25,5,19.59479808350445,26,1916.3948250223534
2462,63,2014-08-26,5,19.59753593429158,27,1951.516760292462
2463,63,2014-09-05,5,19.6249144421629,28,1980.5511218714016
2464,63,2014-09-11,5,19.641341546885695,29,1986.8523874931407
2465,63,2014-10-02,5,19.698836413415467,30,1999.8255880659535
2466,63,2014-10-09,5,19.718001368925393,31,2001.4658415091637
2467,63,2014-10-31,5,19.7782340862423,32,1971.302127476901
2468,63,2014-11-14,5,19.81656399726215,33,1941.6618422191864
2469,63,2015-01-29,5,20.024640657084188,35,1938.4980771051944
2470,63,2015-02-23,5,20.093086926762492,36,1895.3962985159962
2471,63,2017-04-01,5,22.195756331279945,39,1874.1727242540394
2472,63,2017-05-02,5,22.28062970568104,40,1871.0081060602683
2473,63,2017-07-07,5,22.46132785763176,41,1869.349232371006
2474,64,2013-09-09,1,23.11841204654346,7,1683.3775176998513
2475,64,2013-09-22,1,23.15400410677618,8,1723.0968646090014
2476,64,2013-11-08,1,23.28268309377139,9,1717.9521423802496
2477,64,2013-11-26,1,23.33196440793977,10,1712.779770225823
2478,64,2013-12-09,1,23.367556468172484,11,1728.1586419982027
2479,64,2013-12-23,1,23.405886379192335,12,1732.7583485956452
2480,64,2014-01-03,1,23.43600273785079,13,1723.9429879104785
2481,64,2014-04-09,1,23.698836413415467,18,1741.2396583286518
2482,64,2014-05-24,1,23.822039698836413,19,1746.4326120992234
2483,64,2014-06-02,1,23.8466803559206,20,1759.28626981575
2484,64,2014-06-04,1,23.852156057494867,21,1772.1364475401429
2485,64,2014-06-16,1,23.88501026694045,22,1765.0530240859584
2486,64,2014-07-08,1,23.94524298425736,24,1796.4868216265074
2487,64,2014-08-11,1,24.03832991101985,25,1796.3082744169187
2488,64,2014-09-05,1,24.10677618069815,26,1781.4432592886542
2489,64,2014-09-12,1,24.125941136208077,27,1790.8403661149339
