,entity,start,prizeusd,perf1,perf2,perf3,perf4,perf5
672,28,2012-09-17,6000.0,1630.181396074975,1630.181396074975,1630.181396074975,1630.181396074975,1630.181396074975
673,28,2012-11-13,8000.0,1668.2906107850968,1668.2906107850968,1668.2906107850968,1668.2906107850968,1668.2906107850968
674,28,2013-02-11,0.0,1582.9662282469458,1582.9662282469458,1582.9662282469458,1582.9662282469458,1614.6120877167302
675,28,2013-05-19,0.0,1697.1729639379555,1698.9710859894137,1720.3052491679064,1698.9710859894137,1723.2942037448279
676,28,2013-08-31,12000.0,1833.2939293301947,1835.092051381653,1856.4262145601456,1859.415169137067,1835.092051381653
677,28,2013-11-25,62000.0,1910.4916578532363,1912.2897799046946,1933.6239430831872,1903.123922760049,1936.6128976601087
678,28,2014-03-05,7500.0,1813.5993342550123,1815.3974563064708,1836.7316194849632,1806.231599161825,1839.7205740618847
679,28,2016-04-14,20000.0,1488.8280695660928,1719.9381923954274,1672.9653874319026,1535.5368072904994,1643.6869333645193
680,28,2013-11-16,12500.0,1919.138506331915,1920.9366283833733,1942.270791561866,1945.2597461387875,1911.7707712387278
681,28,2013-03-23,1500.0,1631.9611221113703,1631.9611221113703,1653.295285289863,1656.2842398667844,1631.9611221113703
682,28,2013-09-28,8000.0,1885.897713920901,1887.6958359723592,1909.0299991508518,1912.0189537277734,1407.9746141478452
683,28,2012-11-26,0.0,1630.895244216169,1630.895244216169,1630.895244216169,1630.895244216169,1630.895244216169
684,28,2013-05-21,12000.0,1835.1062907255814,1856.4404539040738,1859.4294084809953,1835.1062907255814,1833.308168674123
685,28,2013-08-02,632364.0,1818.4381777741612,1820.2362998256194,1841.570463004112,1820.2362998256194,1844.5594175810336
686,28,2014-07-08,518889.0,1735.6834967154564,1737.4816187669146,1758.815781945407,1728.3157616222688,1761.8047365223288
687,28,2015-07-27,55289.0,1772.2841312797439,1774.0822533312023,1850.7601847720962,1589.6808682262742,1666.7541288966172
688,28,2016-08-02,103852.0,1500.8193975153283,1731.929520344663,1684.956715381138,1547.5281352397349,1655.6782613137545
689,28,2016-06-03,105000.0,1508.1867666189896,1739.2968894483242,1692.3240844847994,1554.8955043433962,1663.045630417416
690,28,2014-06-05,13235.0,1737.6135350224426,1739.4116570739009,1760.7458202523933,1730.245799929255,1763.734774829315
691,28,2016-07-13,101044.1,1518.0830015729728,1749.1931244023074,1702.2203194387826,1564.7917392973793,1672.9418653713992
692,28,2013-03-09,1200.0,1612.1005977313555,1612.1005977313555,1633.434760909848,1612.1005977313555,1636.4237154867694
693,28,2013-09-11,13000.0,1876.7318567762552,1878.5299788277134,1899.864142006206,1878.5299788277134,1902.8530965831276
694,28,2016-04-28,208239.04,1486.373782641537,1717.4839054708716,1670.5111005073468,1533.0825203659438,1641.2326464399634
695,28,2014-10-02,3228.8,1879.1634817795436,1880.961603831002,1902.2957670094945,1884.9375057690581,1999.8255880659535
696,28,2015-09-21,3000.0,1770.364460963459,1727.1849521060058,1803.8628835468996,1542.783567001078,1630.075610368543
697,28,2014-09-05,3241.6,1859.8890155849917,1861.6871376364502,1883.0213008149426,1865.663039574506,1980.5511218714016
698,28,2014-10-31,27674.0,1850.640021190491,1852.4381432419495,1873.772306420442,1377.8109001155826,1971.302127476901
699,28,2014-02-18,9650.0,1862.789231227644,1864.5873532791022,1885.9215164575949,1855.4214961344564,1888.9104710345164
700,29,2014-06-04,4800.0,1772.1364475401429,1728.2132332638078,1959.1215487930249,1772.1364475401429,1841.5081777159594
701,29,2016-12-17,57476.0,1477.2623563467291,1697.0482323673887,1886.2626092424325,2117.3362892922855,1801.8201360353055
702,29,2015-01-29,30575.0,1770.5729340687321,1726.649719792397,1631.7810389172737,1770.5729340687321,1839.9446642445484
703,29,2017-03-27,0.12,1505.1060810028487,1724.891957023508,1914.106333898552,2145.180013948405,1829.663860691425
704,29,2015-02-23,0.0,1621.8333721050572,1716.7020529801803,1486.4633199054335,1829.996997432332,1760.6252672565154
